29-10-2020 16:23:42.093 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.093 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.093 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.093 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.093 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.094 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.094 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.094 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.094 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.094 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.094 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.095 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.095 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.095 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.095 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.095 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.095 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.095 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.096 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.096 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.096 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.096 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.096 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.096 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.096 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.096 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.097 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.097 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.097 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.097 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.097 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.097 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.097 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.097 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.097 ERROR com.mrd.controller.UserController.getByUsername - test loi
